N,Jc_Original_HighFidelity,Jc_Matched_Optimization,J_star,Delta_HF,Delta_Matched
2000,0.55,0.6599999999999999,0.512,0.06909090909090915,0.22424242424242413
5000,0.56,0.6599999999999999,0.4925,0.12053571428571438,0.25378787878787873
