N,beta_E,J,n_seeds,objective_mean,objective_std,objective_stderr,ci_lower_95,ci_upper_95
8000.0,0.0,0.46,3.0,18.942503999633008,7.207510178990726,4.161257942027264,10.78643843325957,27.098569566006447
8000.0,0.0,0.48,3.0,19.349143497283496,6.445488359391226,3.721304439353124,12.055386796151373,26.642900198415617
8000.0,0.0,0.5,3.0,19.476839516879863,6.714681490566745,3.876723166101308,11.8784621113213,27.07521692243843
8000.0,0.0,0.52,3.0,19.307628597719106,6.403130254784966,3.6968489762563372,12.061804604256686,26.553452591181525
8000.0,0.0,0.54,3.0,18.491109614368035,7.564248712245982,4.367221030232498,9.931356395112338,27.050862833623732
8000.0,0.0,0.56,3.0,19.169290294469803,6.477545408076151,3.73981258504079,11.839257627789856,26.49932296114975
8000.0,0.2,0.46,3.0,18.79047131215617,6.496749309248034,3.7508999625518675,11.438707385554512,26.14223523875783
8000.0,0.2,0.48,3.0,18.79443972175926,6.525521065030553,3.7675113434979632,11.410117488503253,26.17876195501527
8000.0,0.2,0.5,3.0,17.716993677355298,7.572173414972964,4.3717963594851685,9.148272812764368,26.285714541946227
8000.0,0.2,0.52,3.0,18.612172335148742,6.604329869412191,3.8130116279222146,11.138669544421202,26.085675125876282
8000.0,0.2,0.54,3.0,18.651364520680033,6.5686918729856485,3.7924360210919716,11.21818991933977,26.084539122020296
8000.0,0.2,0.56,3.0,17.09797656920904,3.8714538018076055,2.235184894628821,12.717014175736551,21.478938962681532
10000.0,0.0,0.46,3.0,19.17669874433074,5.1967131791425425,3.000323752879223,13.296064188687463,25.057333299974015
10000.0,0.0,0.48,3.0,19.601943424652216,7.286633646051423,4.2069398970339735,11.356341226465627,27.847545622838805
10000.0,0.0,0.5,3.0,19.878656333080997,6.992458430075431,4.037097756901319,11.965944729554412,27.791367936607582
10000.0,0.0,0.52,3.0,19.120231250947857,7.4635125271004075,4.309060966621565,10.67447175636959,27.565990745526122
10000.0,0.0,0.54,3.0,19.626395885898127,6.8347988104323605,3.9460729330600577,11.892092937100415,27.36069883469584
10000.0,0.0,0.56,3.0,19.682921050920385,6.61178079993048,3.817313424662662,12.200986738581568,27.1648553632592
10000.0,0.2,0.46,3.0,19.494850915394707,6.857321441525053,3.959076380184282,11.735061210233514,27.2546406205559
10000.0,0.2,0.48,3.0,19.263667416578876,6.793896238906085,3.9224578223788145,11.5756500847164,26.95168474844135
10000.0,0.2,0.5,3.0,17.66201930651488,4.430706700337706,2.558069706140253,12.648202682479983,22.675835930549773
10000.0,0.2,0.52,3.0,19.24334818901487,6.878868099045326,3.971516348703749,11.459176145555524,27.027520232474217
10000.0,0.2,0.54,3.0,18.848845960962105,6.259973251555542,3.6141972419054493,11.765019366827424,25.932672555096786
10000.0,0.2,0.56,3.0,19.004243488251067,6.698542259428244,3.867405176658981,11.424129341999464,26.58435763450267
12000.0,0.0,0.46,3.0,20.457160677236164,6.8632287961686185,3.962486992977943,12.690686170999395,28.223635183472933
12000.0,0.0,0.48,3.0,20.247937533822185,6.947480323476648,4.011129634948871,12.386123449322398,28.109751618321972
12000.0,0.0,0.5,3.0,20.206468125522118,6.886288650159529,3.975800605887069,12.413898937983463,27.999037313060775
12000.0,0.0,0.52,3.0,20.13930098519641,6.964926558851627,4.021202223638961,12.257744626864046,28.020857343528775
12000.0,0.0,0.54,3.0,18.70466551036213,5.1543453683389755,2.9758626859068085,12.871974645984785,24.537356374739474
12000.0,0.0,0.56,3.0,19.20279225782478,7.098055574950804,4.098064296920771,11.17058623586007,27.234998279789487
12000.0,0.2,0.46,3.0,19.29619001877621,6.5055906966376424,3.756004539941268,11.934421120491322,26.657958917061094
12000.0,0.2,0.48,3.0,19.704364376999568,7.0423738911594285,4.065916461794888,11.735168111881586,27.67356064211755
12000.0,0.2,0.5,3.0,19.246277821409095,6.739823206407946,3.8912387425101147,11.61944988608927,26.87310575672892
12000.0,0.2,0.52,3.0,19.407821997597065,6.823198685578069,3.939375597852799,11.686645825805579,27.128998169388552
12000.0,0.2,0.54,3.0,19.40462465215878,6.628471060107585,3.8269495508687585,11.903803532456013,26.905445771861547
12000.0,0.2,0.56,3.0,19.322082787168636,6.574969937431911,3.796060663290011,11.881803887120213,26.76236168721706
