N,J,Jc,beta_E,theta0,thetaA,thetaV,mean_rate,leading_real_eig,spectral_gap,subcritical_flag
2000.0,0.48,0.6000000000000001,0.0,3.8328369361712697,0.308526146181397,-3.1154213116793072,8.0516,-12.896772035146583,12.896772035146583,1
2000.0,0.49,0.6000000000000001,0.0,0.8409269076294152,-1.5674555704152735,2.6524042253405207,10.86575,-19.913105466157063,19.913105466157063,1
2000.0,0.5,0.6000000000000001,0.0,-0.8423423493931376,-1.0013021283213444,1.822671936163827,11.46425,-14.312728259588468,14.312728259588468,1
2000.0,0.51,0.6000000000000001,0.0,1.0669212719063563,0.316329790723953,-2.681920100892764,5.7595,-29.45246425813482,29.45246425813482,1
2000.0,0.52,0.6000000000000001,0.0,2.221310324153178,0.269016803104139,-3.5754957572120043,5.12685,-40.51978007513861,40.51978007513861,1
2000.0,0.48,0.6000000000000001,0.0,2.639854946557457,0.0708854948592805,-2.3710122915110823,6.0975,-64.19439237738843,64.19439237738843,1
2000.0,0.49,0.6000000000000001,0.0,-1.6905832792240938,-1.5324467840616025,2.657456948204035,7.85165,-19.169980831477247,19.169980831477247,1
2000.0,0.5,0.6000000000000001,0.0,4.0187735396983575,-0.3084976373111899,-4.336534444757997,3.88105,-104.93236888216484,104.93236888216484,1
2000.0,0.51,0.6000000000000001,0.0,3.8227681868695234,0.1462296563853266,-3.597799257146242,5.2546,-55.79054118894158,55.79054118894158,1
2000.0,0.52,0.6000000000000001,0.0,1.2525533190356783,0.2503858698896612,-4.100969311082642,3.6896,-51.904407361377665,51.904407361377665,1
2000.0,0.48,0.6000000000000001,0.0,2.301588538069669,0.0578082070297518,-2.6097978625519644,5.4225,-67.16337493452926,67.16337493452926,1
2000.0,0.49,0.6000000000000001,0.0,1.8468799633426896,0.0602889904179661,-2.4938841931675886,5.127,-67.2724586531772,67.2724586531772,1
2000.0,0.5,0.6000000000000001,0.0,1.6665639320754035,0.275653311157901,-4.305534789475711,4.1012,-46.737266006980384,46.737266006980384,1
2000.0,0.51,0.6000000000000001,0.0,2.100673368536708,0.1583682588208196,-2.414034114109622,5.80175,-52.02967385965775,52.02967385965775,1
2000.0,0.52,0.6000000000000001,0.0,0.6849558778034159,0.1375879917332877,-3.4642306093757744,3.533,-62.847540630157354,62.847540630157354,1
2000.0,0.48,0.6000000000000001,0.0,1.8001288957620627,0.0539870548032536,-2.6393202250021024,4.7636,-68.57068164348053,68.57068164348053,1
2000.0,0.49,0.6000000000000001,0.0,-2.4370130132225643,-0.5434754374391662,1.1803398874989477,13.6958,-5.0485418004663245,5.0485418004663245,1
2000.0,0.5,0.6000000000000001,0.0,-2.4032350187458653,-0.9504601171863408,1.7682688888301763,8.6313,-14.405787355255839,14.405787355255839,1
2000.0,0.51,0.6000000000000001,0.0,2.472217226355809,0.0539023521207241,-3.3308864330179544,4.2882,-69.22139834089776,69.22139834089776,1
2000.0,0.52,0.6000000000000001,0.0,2.2760780851040643,0.057547900538912,-3.4089502359198414,4.05535,-69.16557803873809,69.16557803873809,1
2000.0,0.48,0.6000000000000001,0.0,2.1981269158187637,0.1672147669919988,-2.9887194828019,5.0411,-53.926340952915865,53.926340952915865,1
2000.0,0.49,0.6000000000000001,0.0,1.6879431032166987,0.1571609255284661,-2.575689798119913,5.05995,-55.11933937180596,55.11933937180596,1
2000.0,0.5,0.6000000000000001,0.0,1.8255292190314292,0.0455387022323375,-3.8931795186452254,3.5573,-70.95012936372265,70.95012936372265,1
2000.0,0.51,0.6000000000000001,0.0,2.679338686230525,0.1979392328381286,-2.2879105562423803,6.6593,-42.04658166902624,42.04658166902624,1
2000.0,0.52,0.6000000000000001,0.0,2.2573946654684494,0.1476859455671628,-4.461359791226338,3.5815,-61.77656964878014,61.77656964878014,1
2000.0,0.48,0.6000000000000001,0.2,0.9670440114786508,0.2056405917392843,-4.634941390869884,3.9902,-54.48632277104769,54.48632277104769,1
2000.0,0.49,0.6000000000000001,0.2,1.294417683555661,0.208924363545919,-4.421385735418352,4.14695,-53.34002776483127,53.34002776483127,1
2000.0,0.5,0.6000000000000001,0.2,1.177048775387623,0.2346889447276013,-2.835292181907056,5.2642,-44.113761429124025,44.113761429124025,1
2000.0,0.51,0.6000000000000001,0.2,0.2989566769014927,0.1867801820921518,-3.4080297711997734,3.8794,-56.88512403979267,56.88512403979267,1
2000.0,0.52,0.6000000000000001,0.2,-0.334539490158007,0.0403203910712076,-2.580473924842927,3.52015,-71.45165438426721,71.45165438426721,1
2000.0,0.48,0.6000000000000001,0.2,2.6275571221754808,0.2587614815591552,-3.372925365059483,5.5246,-39.261157974457284,39.261157974457284,1
